obj_id|image_file|commons_link
17831|0828.tif|https://commons.wikimedia.org/wiki/File:The_Blind_Oedipus_Commending_his_Children_to_the_Gods_(Bénigne_Gagneraux)_-_Nationalmuseum_-_17831.tif
17861|0858.tif|https://commons.wikimedia.org/wiki/File:Jupiter_and_Callisto_(Charles-Joseph_Natoire)_-_Nationalmuseum_-_17861.tif
17896|0893-digital retusch.tif|https://commons.wikimedia.org/wiki/File:Shipwreck_(Pierre_Jacques_Volaire)_-_Nationalmuseum_-_17896.tif
17950|0947.tif|https://commons.wikimedia.org/wiki/File:King_Karl_XII_of_Sweden_(Michael_Dahl_d.ä.)_-_Nationalmuseum_-_17950.tif
18002|0999.tif|https://commons.wikimedia.org/wiki/File:Tithe_Collection_in_Skåne_(Bengt_Nordenberg)_-_Nationalmuseum_-_18002.tif
18041|1038.tif|https://commons.wikimedia.org/wiki/File:Loke_and_Sigyn_(Mårten_Winge)_-_Nationalmuseum_-_18041.tif
18091|1088.tif|https://commons.wikimedia.org/wiki/File:Peasants_and_Cattle._Study_-_Nationalmuseum_-_18091.tif
18148|1145.tif|https://commons.wikimedia.org/wiki/File:Portrait_of_a_Watchmaker_(Pier_Leone_Ghezzi)_-_Nationalmuseum_-_18148.tif
17638|0635.tif|https://commons.wikimedia.org/wiki/File:Still_Life_with_Fruit_and_Boiled_Crayfish_(Joris_van_Son)_-_Nationalmuseum_-_17638.tif
17639|0636.tif|https://commons.wikimedia.org/wiki/File:Dogs_Fighting_over_a_Flayed_Ox's_Head_-_Nationalmuseum_-_17639.tif
17640|0637.tif|https://commons.wikimedia.org/wiki/File:Still_Life_with_Dead_Game,_a_Monkey,_a_Parrot,_and_a_Dog_(Frans_Snyders)_-_Nationalmuseum_-_17640.tif
17641|0638.tif|https://commons.wikimedia.org/wiki/File:Fight_between_Eagles_-_Nationalmuseum_-_17641.tif
17643|0640.tif|https://commons.wikimedia.org/wiki/File:Still_Life_with_Fruit_Bowl_in_a_Niche_(Frans_Snyders)_-_Nationalmuseum_-_17643.tif
17646|0643.tif|https://commons.wikimedia.org/wiki/File:Diana_with_Nymphs,_Dogs_and_Game_-_Nationalmuseum_-_17646.tif
17647|0644-sk.tif|https://commons.wikimedia.org/wiki/File:Kitchen_Scene_(Jan_Adriaensz_van_Staveren)_-_Nationalmuseum_-_17647.tif
17648|0645-1.tif|https://commons.wikimedia.org/wiki/File:Old_Man_with_a_Growth_on_his_Nose_(Monogrammist_I.S.)_-_Nationalmuseum_-_17648.tif
17650|0647.tif|https://commons.wikimedia.org/wiki/File:Ace_of_Hearts_(Jan_Havicksz_Steen)_-_Nationalmuseum_-_17650.tif
17651|0648.tif|https://commons.wikimedia.org/wiki/File:Interior_of_a_Baroque_Church_(Bartholomeus_van_Bassen)_-_Nationalmuseum_-_17651.tif
17653|0650.tif|https://commons.wikimedia.org/wiki/File:Herbs,_Butterflies_and_a_Serpent_(Christian_Jansz_Striep)_-_Nationalmuseum_-_17653.tif
17654|0651sv.tif|https://commons.wikimedia.org/wiki/File:The_Dice_Game_-_Nationalmuseum_-_17654.tif
17655|0652sv.tif|https://commons.wikimedia.org/wiki/File:Interior_of_a_Tavern_-_Nationalmuseum_-_17655.tif
17656|0653-1.tif|https://commons.wikimedia.org/wiki/File:Tavern_Scene_with_Pipe-smokers_-_Nationalmuseum_-_17656.tif
17657|0654.tif|https://commons.wikimedia.org/wiki/File:Interior_of_a_Tavern_-_Nationalmuseum_-_17657.tif
17658|0655sv.tif|https://commons.wikimedia.org/wiki/File:Farmers_Making_Music_-_Nationalmuseum_-_17658.tif
17659|0656.tif|https://commons.wikimedia.org/wiki/File:Guards_of_a_Camp_-_Nationalmuseum_-_17659.tif
17665|0662sv.tif|https://commons.wikimedia.org/wiki/File:Achilles_recognized_by_Ulysses_at_the_Court_of_Lycomedes_(Pieter_Thys_d.ä.)_-_Nationalmuseum_-_17665.tif
17668|0665.tif|https://commons.wikimedia.org/wiki/File:At_the_Edge_of_the_Forest_(Lodewyk_de_Vadder)_-_Nationalmuseum_-_17668.tif
17669|0666.tif|https://commons.wikimedia.org/wiki/File:Allegory_of_the_Temptations_of_Youth_(Otto_van_Veen)_-_Nationalmuseum_-_17669.tif
17670|0667.tif|https://commons.wikimedia.org/wiki/File:Landscape_with_Sheep_and_a_Sleeping_Shepherd_(Adriaen_van_de_Velde)_-_Nationalmuseum_-_17670.tif
17673|0670sv.tif|https://commons.wikimedia.org/wiki/File:A_Fortified_Harbour_(Peter_van_den_Velde)_-_Nationalmuseum_-_17673.tif
17674|0671sv.tif|https://commons.wikimedia.org/wiki/File:Fortress_on_a_Riverbank_(Peter_van_den_Velde)_-_Nationalmuseum_-_17674.tif
17675|0672.tif|https://commons.wikimedia.org/wiki/File:Fishing_Boats_in_a_Gabe_(Willem_van_de_Velde_d.y.)_-_Nationalmuseum_-_17675.tif
17676|0673.tif|https://commons.wikimedia.org/wiki/File:Fishing_Boats_at_Sea_(Willem_van_de_Velde_d.y.)_-_Nationalmuseum_-_17676.tif
17679|0676.tif|https://commons.wikimedia.org/wiki/File:Flower_Garland_and_Gilded_Bowl_of_Fruit_(Gaspar_Peeter_Verbruggen_d.y.)_-_Nationalmuseum_-_17679.tif
17680|0677-1.tif|https://commons.wikimedia.org/wiki/File:The_Sleeping_Student_(Constantin_Verhout)_-_Nationalmuseum_-_17680.tif
17681|0678.tif|https://commons.wikimedia.org/wiki/File:River_Landscape_with_Peasants_(Adrian_van_Stalbemt)_-_Nationalmuseum_-_17681.tif
17682|0679.tif|https://commons.wikimedia.org/wiki/File:Distributing_Alms_(David_Vinckboons)_-_Nationalmuseum_-_17682.tif
17683|0680sv.tif|https://commons.wikimedia.org/wiki/File:Scene_from_a_Village_School_(Jan_Miense_Molenaer)_-_Nationalmuseum_-_17683.tif
17686|0683.tif|https://commons.wikimedia.org/wiki/File:Interior_of_Nieuwe_Kerk,_Delft_(Hendrick_Cornelisz_van_Vliet)_-_Nationalmuseum_-_17686.tif
17691|0688.tif|https://commons.wikimedia.org/wiki/File:The_Sleeping_Officer_(Jacob_Ochtervelt)_-_Nationalmuseum_-_17691.tif
17692|0689.tif|https://commons.wikimedia.org/wiki/File:The_Card_Game_(Cornelis_de_Vos)_-_Nationalmuseum_-_17692.tif
